id,start_date,end_date,low,medium,high
500563,1388-08-24,1388-09-25,0,12520,2560
500609,1388-09-09,1388-10-09,0,24100,4820
970946,1388-09-23,1388-10-20,0,10767,2153
500563,1388-10-26,1388-11-27,0,21133,4227
400242,1388-11-04,1388-11-28,2280,3780,1260
500563,1389-01-02,1389-01-28,0,19333,3867
400242,1389-01-12,1389-02-01,4170,6210,2040
500609,1389-01-16,1389-02-08,0,35000,7000
970946,1389-02-20,1389-03-18,0,10600,2400
500563,1389-03-26,1389-04-30,0,16167,3233
500609,1389-05-11,1389-06-11,0,37700,7540
970946,1389-05-19,1389-06-22,0,15867,3173
500563,1389-05-26,1389-07-03,0,17040,3400
400242,1389-06-03,1389-07-08,4530,8040,2670
500609,1389-06-11,1389-07-14,0,41933,8387
400242,1388-11-28,1389-01-12,3180,5430,1680
970946,1389-01-23,1389-02-20,0,9283,1857
500563,1389-02-27,1389-03-26,0,13600,2720
400242,1389-02-30,1389-04-03,3630,6510,2070
400242,1389-04-03,1389-05-07,7770,14070,4350
500609,1389-04-08,1389-05-11,0,45600,9120
970946,1389-06-22,1389-07-24,0,8483,1697
970946,1389-07-24,1389-08-22,0,9033,1807
970946,1389-08-22,1389-09-21,0,4117,823
970946,1389-10-19,1389-11-20,0,5320,980
500609,1389-10-12,1389-11-11,0,0,0
400242,1389-10-07,1389-11-04,2520,3810,1290
500563,1388-11-27,1389-01-02,0,19440,3960
500609,1388-12-05,1389-01-16,0,71033,14207
970946,1388-12-15,1389-01-23,0,11520,2540
500563,1389-01-28,1389-02-27,0,10360,2080
400242,1389-02-01,1389-02-30,3240,5520,1740
500609,1389-02-08,1389-03-08,0,43367,8673
500609,1389-03-08,1389-04-08,0,39520,7600
970946,1389-03-18,1389-04-26,0,14983,2997
970946,1389-04-26,1389-05-19,0,12083,2417
500563,1389-04-30,1389-05-26,0,11760,2320
400242,1389-05-07,1389-06-03,4890,8670,2760
500563,1389-07-03,1389-07-29,0,11680,2320
400242,1389-07-08,1389-08-04,3210,5310,1770
500609,1389-07-14,1389-08-13,0,34967,6993
500563,1389-07-29,1389-09-01,0,6233,1247
400242,1389-08-04,1389-09-06,3840,6090,2130
500609,1389-08-13,1389-09-13,0,34033,6807
500609,1389-09-13,1389-10-12,0,20640,4040
400242,1389-09-06,1389-10-07,3000,4860,1590
500563,1389-09-01,1389-09-30,0,21200,3960
970946,1389-09-21,1389-10-19,0,5200,1020
500563,1389-09-30,1389-11-23,0,0,0
400242,1389-10-07,1389-12-05,5970,9030,3090
500609,1389-11-11,1389-12-08,0,0,0
970946,1389-11-20,1389-12-17,0,4540,20
500609,1389-12-08,1390-01-21,0,25120,5080
970946,1389-12-17,1390-01-29,0,7980,2600
500563,1390-01-06,1390-01-30,0,10360,2120
400242,1390-01-16,1390-02-04,2940,4680,1470
500563,1390-02-31,1390-03-25,0,14000,2720
500609,1390-04-11,1390-05-18,0,44200,8800
500609,1390-05-18,1390-06-13,0,31800,6400
400242,1390-06-04,1390-07-05,3660,6000,1980
970946,1390-06-26,1390-07-26,0,4360,1140
500563,1390-05-30,1390-07-28,0,25280,5040
970946,1390-08-24,1390-09-23,0,3080,700
970946,1390-09-23,1390-10-20,0,3000,740
500563,1390-10-03,1390-10-26,0,0,0
400242,1390-10-05,1390-11-01,3000,4410,1500
500563,1390-10-26,1390-11-30,0,0,0
400242,1390-11-01,1390-12-02,3180,4800,1590
500609,1390-01-21,1390-02-12,0,31120,6200
500563,1390-01-30,1390-02-31,0,12920,2560
400242,1390-02-04,1390-03-03,4860,8880,2550
500609,1390-02-12,1390-03-12,0,40480,8440
400242,1390-03-03,1390-04-01,5730,10230,3270
970946,1390-03-23,1390-04-22,0,8300,1780
970946,1390-04-22,1390-05-26,0,8280,1740
500609,1390-06-13,1390-07-14,0,38480,7760
400242,1390-07-05,1390-08-05,3150,5160,1710
970946,1390-07-26,1390-08-24,0,3360,840
400242,1390-08-05,1390-09-05,3090,5130,1620
500563,1390-07-28,1390-10-03,0,20960,4240
400242,1390-09-05,1390-10-05,3180,5010,1680
500609,1390-10-11,1390-11-09,0,0,0
500609,1390-11-09,1390-12-06,0,0,0
970946,1390-11-20,1390-12-14,0,2400,560
500563,1389-11-23,1390-01-06,0,0,0
400242,1389-12-05,1390-01-16,4050,6240,2130
970946,1390-01-29,1390-02-22,0,5340,1260
970946,1390-02-22,1390-03-23,0,8760,1900
500609,1390-03-12,1390-04-11,0,39280,7840
500563,1390-03-25,1390-04-30,0,15520,3040
400242,1390-04-01,1390-05-05,7200,13110,4140
500563,1390-04-30,1390-05-30,0,12960,2560
400242,1390-05-05,1390-06-04,4710,8460,2580
970946,1390-05-26,1390-06-26,0,5760,1300
500609,1390-07-14,1390-08-15,0,35040,6960
500609,1390-08-15,1390-09-14,0,14600,2920
500609,1390-09-14,1390-10-11,0,0,0
970946,1390-10-20,1390-11-20,0,3080,780
400242,1390-12-02,1391-01-12,2970,4590,1560
500609,1390-12-06,1391-01-19,0,0,43560
400242,1391-01-12,1391-02-06,1980,3210,1020
400242,1391-03-02,1391-04-04,2550,4680,1410
500609,1391-03-13,1391-04-18,0,0,54560
500563,1391-03-25,1391-05-01,0,15680,3080
500563,1391-06-25,1391-07-24,0,12040,2360
500609,1391-07-11,1391-08-14,0,0,45800
500563,1391-07-24,1391-08-30,0,14760,2840
400242,1391-08-06,1391-09-03,1590,2490,780
500563,1391-08-30,1391-09-30,0,8800,1760
400242,1391-09-03,1391-10-03,2520,3960,1290
500609,1391-10-11,1391-11-08,0,0,0
970946,1390-12-14,1391-01-28,0,4420,1140
500609,1391-01-19,1391-02-12,0,0,39320
500563,1391-02-03,1391-02-28,0,11840,2320
400242,1391-02-06,1391-03-02,2100,3570,1110
500609,1391-02-12,1391-03-13,0,0,50120
500609,1391-04-18,1391-05-09,0,0,31720
400242,1391-05-03,1391-05-31,2850,5220,1620
500609,1391-05-09,1391-06-12,0,0,48320
500563,1391-05-28,1391-06-25,0,11520,2240
500609,1391-06-12,1391-07-11,0,0,42240
500609,1391-08-14,1391-09-12,0,0,37200
500609,1391-09-12,1391-10-11,0,0,0
500563,1390-11-30,1390-12-17,0,0,0
500563,1390-12-17,1391-02-03,0,14160,2240
500563,1391-02-28,1391-03-25,0,12360,2440
400242,1391-04-04,1391-05-03,2670,5010,1530
500563,1391-05-01,1391-05-28,0,11160,2200
400242,1391-05-31,1391-07-04,2340,3270,1110
400242,1391-07-04,1391-08-06,2280,3510,1170
400242,1391-10-03,1391-11-02,2100,3450,1140
500563,1391-09-30,1391-10-26,0,0,0
500609,1391-11-08,1391-12-07,0,0,36800
400242,1391-11-02,1391-12-02,2220,3570,1230
500563,1391-10-26,1391-11-21,0,0,0
400242,1391-12-02,1392-01-17,4320,4140,1410
500563,1391-11-21,1391-12-29,0,4840,1000
500609,1391-12-07,1392-01-19,0,520,49640
500563,1392-02-02,1392-02-25,0,10720,2120
400242,1392-03-02,1392-04-02,2520,5340,1470
500609,1392-03-09,1392-04-09,0,0,43640
400242,1392-04-02,1392-04-31,3420,7590,2070
500563,1392-04-23,1392-05-23,0,13920,2720
400242,1392-04-31,1392-05-31,5160,8940,2790
500609,1392-06-09,1392-07-10,0,0,38400
500563,1392-06-24,1392-07-28,0,15000,2920
400242,1392-07-04,1392-08-05,3960,6180,2040
500563,1392-08-26,1392-09-12,0,7720,1560
500609,1392-08-13,1392-09-11,0,0,32560
500563,1392-09-12,1392-09-26,2840,4040,1400
400242,1392-09-03,1392-10-04,5220,7830,2610
400527,1392-03-25,1392-10-14,0,0,0
500563,1392-09-26,1392-10-29,3240,5000,1600
400242,1392-10-04,1392-11-02,4860,7320,2430
500563,1392-10-29,1392-11-20,0,0,0
400527,1392-11-06,1392-12-06,0,0,0
500609,1392-11-06,1392-12-07,0,0,0
500563,1392-02-25,1392-03-25,0,13880,2720
500563,1392-03-25,1392-04-23,0,12920,2560
500609,1392-04-09,1392-05-08,0,0,40600
500609,1392-05-08,1392-06-09,0,0,42240
500609,1392-07-10,1392-08-13,0,0,37040
500609,1392-09-11,1392-10-14,0,0,35320
400527,1392-10-14,1392-11-06,21480,29420,13280
500609,1392-10-14,1392-11-06,0,0,0
400242,1392-11-02,1392-11-29,5370,8310,2790
500563,1391-12-29,1392-02-02,0,19680,3920
400242,1392-01-17,1392-02-07,0,2340,780
500609,1392-01-19,1392-02-12,0,0,36840
400242,1392-02-07,1392-03-02,1350,3150,1020
500609,1392-02-12,1392-03-09,0,0,41440
500563,1392-05-23,1392-06-24,0,14200,2760
400242,1392-05-31,1392-07-04,2520,5430,1560
500563,1392-07-28,1392-08-26,0,13880,2720
400242,1392-08-05,1392-09-03,4470,6660,2310
400242,1393-01-11,1393-02-02,3330,4890,1710
500609,1393-01-19,1393-02-09,0,0,30160
400527,1393-01-18,1393-02-08,2680,3200,1800
400527,1393-02-08,1393-03-10,0,0,0
500609,1393-02-09,1393-03-11,0,0,46640
500563,1393-02-25,1393-03-25,5800,8640,2880
400242,1393-03-01,1393-04-05,5700,9120,3150
400527,1393-03-10,1393-04-10,3180,9860,2680
500609,1393-03-11,1393-04-12,0,0,45360
400242,1393-04-05,1393-05-05,4230,8070,2520
